BenchTaxonName,BenchTaxonNameReferenceCode,TaxonConceptState,BiologicalCommunity,AlgalGroup,BenchTaxonProvisional,BenchTaxonHybrid,BU_ID,NADED_ID,BiodataTaxonName,BiodataCommonName,BiodataShortName,BiodataTaxonProvisional,BiodataTaxonHybrid,PublishedTaxonName,PublishedTaxonAuthority,ITIS_TSN,ITIS_MatchCode,PublishedSortOrder,PublishedTaxonLevel,ScientificName,Phylum,Subphylum,Superclass,Class,Subclass,Infraclass,Superorder,Order_,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,Variety,Form,TaxonVersionNumber
Porifera,"",Current,Invertebrates,"",N,N,Porifera,"",Porifera,"",Porifer_16,N,N,Porifera,"Grant, 1836",46861,exact match,2000001,Phylum,"Porifera Grant, 1836",Porifera,"","","","","","","","","","","","","","","","","","","",16.4
Spongillidae,"",Deprecated,Invertebrates,"",N,N,Spongillidae,"",Porifera,"",Porifer_16,N,N,Porifera,"Grant, 1836",46861,exact match,2000002,Phylum,"Porifera Grant, 1836",Porifera,"","","","","","","","","","","","","","","","","","","",16.4
Demospongiae,"",Current,Invertebrates,"",N,N,Demospongiae,"",Demospongiae,"",Demospo_17,N,N,Demospongiae,"",47528,exact match,2000003,Class,Demospongiae,Porifera,"","",Demospongiae,"","","","","","","","","","","","","","","","",16.4
Ceractinomorpha,"",Current,Invertebrates,"",N,N,Ceractinomorpha,"",Ceractinomorpha,"",Ceracti_18,N,N,Ceractinomorpha,"",47528,Automated Parent Match @ Class,2000004,Subclass,Ceractinomorpha,Porifera,"","",Demospongiae,Ceractinomorpha,"","","","","","","","","","","","","","","",16.4
Cnidaria,"",Current,Invertebrates,"",N,N,Cnidaria,"",Cnidaria,"",Cnidari_5,N,N,Cnidaria,"Hatschek, 1888",48738,exact match,2000005,Phylum,"Cnidaria Hatschek, 1888",Cnidaria,"","","","","","","","","","","","","","","","","","","",16.4
Hydrozoa,"",Current,Invertebrates,"",N,N,Hydrozoa,"",Hydrozoa,"",Hydrozo_6,N,N,Hydrozoa,"",48739,Automated Exact Match,2000006,Class,Hydrozoa,Cnidaria,"","",Hydrozoa,"","","","","","","","","","","","","","","","",16.4
Hydroida,"",Current,Invertebrates,"",N,N,Hydroida,"",Hydroida,"",Hydroid_7,N,N,Hydroida,"",48740,Automated Exact Match,2000007,Order,Hydroida,Cnidaria,"","",Hydrozoa,"","","",Hydroida,"","","","","","","","","","","","",16.4
Hydridae,"",Current,Invertebrates,"",N,N,Hydridae,"",Hydridae,"",Hydri_8,N,N,Hydridae,"",50844,Automated Exact Match,2000008,Family,Hydridae,Cnidaria,"","",Hydrozoa,"","","",Hydroida,"","","",Hydridae,"","","","","","","","",16.4
Hydra,"",Current,Invertebrates,"",N,N,Hydra sp.,"",Hydra,"",Hydra_9,N,N,Hydra,"",50845,Automated Exact Match,2000009,Genus,Hydra,Cnidaria,"","",Hydrozoa,"","","",Hydroida,"","","",Hydridae,"","",Hydra,"","","","","",16.4
Platyhelminthes,"",Current,Invertebrates,"",N,N,Platyhelminthes,"",Platyhelminthes,"",Platyhe_10,N,N,Platyhelminthes,"",53963,exact match,2000010,Phylum,Platyhelminthes,Platyhelminthes,"","","","","","","","","","","","","","","","","","","",16.4
Trepaxonemata,"",Current,Invertebrates,"",N,N,Trepaxonemata,"",Turbellaria,"",Turbell_11,N,N,Turbellaria,"",53964,Automated Exact Match,2000011,Class,Turbellaria,Platyhelminthes,"","",Turbellaria,"","","","","","","","","","","","","","","","",16.4
Turbellaria,"",Current,Invertebrates,"",N,N,Turbellaria,"",Turbellaria,"",Turbell_11,N,N,Turbellaria,"",53964,Automated Exact Match,2000012,Class,Turbellaria,Platyhelminthes,"","",Turbellaria,"","","","","","","","","","","","","","","","",16.4
Turbellaria,"Thorp and Covich, 2001",Current,Invertebrates,"",N,N,"Turbellaria sensu Thorp and Covich, 2001","",Turbellaria,"",Turbell_11,N,N,Turbellaria,"",53964,Automated Exact Match,2000013,Class,Turbellaria,Platyhelminthes,"","",Turbellaria,"","","","","","","","","","","","","","","","",16.4
Tricladida,"",Current,Invertebrates,"",N,N,Tricladida,"",Tricladida,"",Triclad_12,N,N,Tricladida,"",54468,Automated Exact Match,2000014,Order,Tricladida,Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","","","","","","","","","","",16.4
Digesiidae,"",Retired,Invertebrates,"",N,N,Digesiidae,"",Dugesiidae,"",Duges_3807,N,N,Dugesiidae,"",54552,Automated Exact Match,2000015,Family,Dugesiidae,Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Dugesiidae,"","","","","","","","",16.4
Dugesia,"",Deprecated,Invertebrates,"",N,N,Dugesia sp.,"",Dugesiidae,"",Duges_3807,N,N,Dugesiidae,"",54552,Automated Exact Match,2000016,Family,Dugesiidae,Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Dugesiidae,"","","","","","","","",16.4
Dugesiidae,"",Current,Invertebrates,"",N,N,Dugesiidae,"",Dugesiidae,"",Duges_3807,N,N,Dugesiidae,"",54552,Automated Exact Match,2000017,Family,Dugesiidae,Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Dugesiidae,"","","","","","","","",16.4
Cura,"",Current,Invertebrates,"",N,N,Cura,"",Cura,"","",N,N,Cura,"",54553,exact match,2000018,Genus,Cura,Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Dugesiidae,"","",Cura,"","","","","",16.4
Girardia,"",Current,Invertebrates,"",N,N,Girardia sp.,"",Girardia,"",Girar_3808,N,N,Girardia,"",54552,Automated Parent Match @ Family,2000019,Genus,Girardia,Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Dugesiidae,"","",Girardia,"","","","","",16.4
Girardia,"Smith, 2001",Current,Invertebrates,"",N,N,"Girardia sp. sensu Smith, 2001","",Girardia,"",Girar_3808,N,N,Girardia,"",54552,Automated Parent Match @ Family,2000020,Genus,Girardia,Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Dugesiidae,"","",Girardia,"","","","","",16.4
Dugesia tigrina,"",Current,Invertebrates,"",N,N,Dugesia tigrina Girard,"",Girardia tigrina,"",Gi_tigr809,N,N,Girardia tigrina,(Girard),54552,Automated Parent Match @ Family,2000021,Species,Girardia tigrina (Girard),Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Dugesiidae,"","",Girardia,"",Girardia tigrina,"","","",16.4
Dugesia tigrina,"Pennak, 1989",Deprecated,Invertebrates,"",N,N,"Dugesia tigrina Girard sensu Pennak, 1989","",Girardia tigrina,"",Gi_tigr809,N,N,Girardia tigrina,(Girard),54552,Automated Parent Match @ Family,2000022,Species,Girardia tigrina (Girard),Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Dugesiidae,"","",Girardia,"",Girardia tigrina,"","","",16.4
